TOTAL NACIONAL,
    Total,20.282.642,20.199.588,20.111.719,20.017.505,19.915.062,19.803.235,19.688.204,19.569.720,19.445.001,19.314.040,19.181.248,19.049.222,18.915.328,18.771.653,18.637.505,18.503.541,
    1 persona,5.839.672,5.777.695,5.715.177,5.650.566,5.580.536,5.504.140,5.428.654,5.352.734,5.272.141,5.189.506,5.106.471,5.027.646,4.949.577,4.860.451,4.784.762,4.705.381,
    2 personas,6.405.148,6.362.282,6.316.675,6.268.968,6.219.140,6.166.118,6.110.818,6.055.677,6.000.358,5.941.748,5.886.303,5.832.454,5.778.783,5.725.491,5.671.831,5.621.911,
    3 personas,3.834.693,3.843.070,3.849.928,3.855.446,3.860.233,3.864.160,3.867.429,3.869.387,3.871.204,3.872.489,3.872.480,3.871.003,3.868.520,3.867.133,3.864.010,3.862.043,
    4 personas,3.102.274,3.117.380,3.132.475,3.146.967,3.161.500,3.176.808,3.191.313,3.204.305,3.216.382,3.228.184,3.237.300,3.243.441,3.248.007,3.252.420,3.255.088,3.256.789,
    5 personas o más,1.100.854,1.099.162,1.097.464,1.095.558,1.093.653,1.092.008,1.089.990,1.087.617,1.084.916,1.082.113,1.078.694,1.074.677,1.070.441,1.066.157,1.061.814,1.057.417,
ANDALUCÍA,
    Total,3.527.107,3.511.939,3.496.131,3.479.303,3.460.700,3.440.223,3.418.845,3.397.241,3.374.338,3.350.342,3.326.162,3.302.781,3.279.150,3.253.680,3.229.703,3.205.765,
    1 persona,953.153,941.339,929.620,917.814,904.728,890.250,875.831,861.839,846.741,831.457,816.058,802.084,788.597,772.952,759.457,745.752,
    2 personas,1.096.561,1.086.343,1.075.714,1.064.428,1.052.666,1.040.269,1.027.129,1.014.048,1.000.972,987.101,974.150,961.770,949.265,936.926,924.667,912.713,
    3 personas,692.114,692.970,693.480,693.685,693.750,693.624,693.362,692.750,692.169,691.507,690.617,689.384,687.883,686.574,684.967,683.477,
    4 personas,604.414,608.489,612.538,616.580,620.713,625.103,629.431,633.426,637.267,641.080,644.261,646.704,648.837,650.959,652.667,654.229,
